#;S³ownictwo informatyczne
ActiveX control;formant ActiveX
back-end;zaplecze
to boot;uruchamiaæ
bootable;rozruchowy
chat;czat
to click;klikaæ
cyan;niebieskozielony
magenta;purpurowy
yellow;¿ó³ty
black;czarny
red;czerwony
green;zielony
blue;niebieski
command;polecenie
to compress;kompresowaæ
content;treœæ
custom;niestandardowy
to customize;dostosowywaæ
dedicated;specjalizowany
desktop;pulpit
to double-click;klikaæ dwukrotnie
driver;sterownik
end-user;u¿ytkownik
font;czcionka
framework;zr¹b
frivolous;b³ahy
front-end;fronton
functionality;zbiór funkcji
justification;justowanie
host;stacja robocza
hot key;klawisz skrótu
interface;interfejs
leading;czo³owy
level;poziom
link;odnoœnik
object-oriented;obiektowy
to open with;otworzyæ za pomoc¹
manager;mened¿er
manual;podrêcznik
paragraph;akapit
shell;pow³oka
to support;obs³ugiwaæ
theme;motyw
trivial;prosty
unique;niepowtarzalny
user-friendly;³atwy w obs³udze
Web;WWW
Web site;witryna internetowa
mouse;mysz
